Year,Crimes Reported,Animals Adopted,Animals Euthanized,Fatal And Injury Traffic Accidents,Parking Citations Written,Fixed Transit Route Passenger Trips,Signs Maintained/Replaced,Congregate Meals Served,Affordable Units Monitored,Tenant Complaints Processed,Graffiti Eradicated,Streetligths Converted To Led Citywide,Small Asphalt Repairs,Observatory Attendance,Municipal Sports Team  Participants,Delegates Attending Citywide Conventions,Art Class Enrollment,Registered Borrowers,Recreational Swim Attendance,Recyclables Collected,Catch Basins Cleaned,Miles Of Sewers Cleaned,Airport Passengers,Air Cargo,Inbound Tonnage,Outbound Tonnage,Vessel Arrivals,Cruise Passengers,Non-Structure Fires,Structure Fires,Building Permits Issued,Total Arrests,Active Traffic Congestion Relief Progams in Progress,Traffic Citations Written,Bulky Items Collected,Total Transit Route Passenger Trips,Hours of Intersection Control,Municipal Sports Participants,Griffith Observatory Visitors,Gallons Water Sold,Water Main Breaks,Graffiti Removed (thousands sq. ft),LED Streetlights (percentage)
2018,130804,34811,7015,25387,2237086,18127858,28115,666705,41812,9728,2809,0.89,820592,1628315,75306,440634,185546,2120032,1371223,207756,95561,6870,86.6,2416,103,88,1904,479388,17016,4012,177783,96003,64,216673,53766,18527770,53901,75306,1628315,154,1450,2809,89
2017,129692,32920,8425,25259,2302206,19465764,46189,681524,42757,7661,3253,0.83,1513764,1565700,81572,503036,182078,1665288,1170012,224796,91021,6830,84.3,2508,106,92,2060,534484,13971,4449,164890,99241,62,219911,91224,19741533,32400,81572,1565700,147,1390,3253,83
2016,124623,31100,10931,24399,2395778,23590779,52422,697731,40218,6897,2754,0.8,1121767,1417282,86806,496886,121356,1411764,1227584,216542,114699,7127,82,2655,106,79,2014,676644,13137,4430,156942,126434,96,234311,60101,23895017,25997,86806,1417282,149,1547,2754,80
2015,111690,32826,14083,24974,2489390,24002045,49029,726873,46041,6248,3062,0.76,1050411,1264376,83045,320900,212506,1236890,1177964,209924,73772,6928,76.2,2588,103,75,1846,578902,12917,4562,141445,125567,81,336683,46416,24306283,25997,83045,1264376,162,1241,3062,76
2014,101228,32910,15028,21026,2659718,25277284,7812,711895,25061,5874,3263,0.72,1402144,1155104,90815,299274,15000,1148250,1320675,198143,65492,6614,72.8,2393,99,74.3,2196,541418,12069,4698,133575,130262,79,447062,33720,25453959,23490,90815,1155104,177,1146,3263,72
2013,103856,32440,17063,20996,2654910,26154372,43728,768560,21578,5780,2611,0.65,1416500,1033429,101916,215800,14000,1099165,1330653,150380,65000,6750,69,2400,93,72,2089,355875,10836,4624,126426,150552,84,428178,34000,26467594,23730,101916,1033429,178,1148,2611,65
2012,104604,30414,23955,21216,2522302,23736486,66556,834063,20226,5426,3009,0.4,1206612,969479,94141,291700,13500,1076578,1327220,143338,68750,6750,67,2366,98,75,2100,515827,10991,4871,121140,162698,78,504312,27640,23824821,30370,94141,969479,170,1319,3009,40
2011,106827,29525,24632,18448,2461529,27356994,63019,844074,20684,6408,3570,0,1190244,909668,72502,363000,13000,1231764,1230362,148194,63070,6093,65,2296,94,68,2236,667434,10686,4172,115699,160480,59,564432,32479,27466279,27622,72502,909668,169,1237,3570,0
2010,110827,26952,25298,20408,2587925,30368887,89415,845797,15121,5632,3277,0,1448820,902489,75500,167160,15000,1368354,1287602,141314,87051,5903,63,2242,88,67,2124,802899,11640,3734,115225,151174,45,594193,33330,30535921,42842,75500,902489,166,1453,3277,0
2009,115000,28154,24742,26000,2784351,31675393,108032,840605,18000,8900,2829,0,0,840151,76543,0,16850,1475000,1208758,170000,115000,5000,62,2018,94,66,2322,990965,12173,4026,110992,168000,58,553000,33146,31860898,72618,76543,840151,189,1422,2829,0
