BUDGET FISCAL YEAR,DEPARTMENT NAME,FUND NAME,ACCOUNT NAME,ADOPTED BUDGET AMOUNT,TOTAL EXPENDITURES,BUDGET CHANGE AMOUNT,BUDGET TRANSFER IN AMOUNT,BUDGET TRANSFER OUT AMOUNT,TOTAL BUDGET,ENCUMBRANCE AMOUNT,PRE-ENCUMBRANCE AMOUNT,BUDGET UNCOMMITTED AMOUNT,ACCOUNT GROUP NAME,FUND,ACCOUNT
2020,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRAFFIC SIGNAL SUPPLIES,2000000.00,4426186.54,2443011.28,0.00,0.00,4443011.28,276840.54,0.00,16824.74,SPECIAL,540,94S800
2016,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,PAINT AND SIGN MAINTENANCE,1000000.00,996941.57,0.00,0.00,0.00,1000000.00,0.00,0.00,3058.43,SPECIAL,51Q,94M478
2014,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,REIMBURSEMENT OF GENERAL FUND COSTS,21873577.00,18568921.30,-3304655.70,0.00,0.00,18568921.30,0.00,0.00,0.00,,540,94K299
2016,TRANSPORTATION,NEIGHBORHOOD TRAFFIC MGMT,NEIGHBORHOOD PROTECTION-WEST HILLS,0.00,0.00,11725.00,0.00,0.00,11725.00,0.00,0.00,11725.00,,47H,94MN06
2023,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT OPERATIONS,181645670.00,157736824.29,0.00,0.00,0.00,181645670.00,53946095.23,0.00,23908845.71,SPECIAL,385,94W431
2012,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),PAINT AND SIGN MAINTENANCE AND,4101561.00,2866953.59,153800.00,468.32,114857.24,4140972.08,0.00,0.00,1274018.49,EXPENSES,100,003350
2018,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,OFFICE SUPPLIES,25000.00,14993.29,-10006.71,0.00,0.00,14993.29,0.00,0.00,0.00,SPECIAL,540,94P415
2012,TRANSPORTATION,COASTAL TRANSP CORRIDOR TRUST,ADMINISTRATION,0.00,634822.66,721630.35,0.00,0.00,721630.35,3483.30,0.00,86807.69,,447,943000
2016,TRANSPORTATION,SPECIAL PARKING REVENUE,CONTRACTUAL SERVICES,22079309.00,20004107.65,-2075191.35,0.00,0.00,20004117.65,30162.04,0.00,10.00,SPECIAL,363,94M050
2017,TRANSPORTATION,TRANSP REGULATION &ENFORCEMENT,POLICE,635000.00,596436.71,-38563.29,0.00,0.00,596436.71,0.00,0.00,0.00,,596,94N170
2022,TRANSPORTATION,"MICLA LEASE, SERIES 2021-C (CE AND RP) ACCOUNTING FUND",TRAFFIC SIGNAL SAFETY PROJECTS,0.00,1107885.51,1107885.51,0.00,0.00,1107885.51,0.00,0.00,0.00,,27K,94VL02
2016,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,VISION ZERO,0.00,673300.84,676147.21,0.00,0.00,676147.21,1716.17,0.00,2846.37,,51Q,94MM07
2022,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,UNIVERSAL FARE SYSTEM,250000.00,0.00,0.00,0.00,0.00,250000.00,0.00,0.00,250000.00,SPECIAL,385,94V413
