Category,Attribute,Value
Metro Bus,Bus stops,11980 (as of June '23)
Metro Bus,Service area,1447 square miles
Metro Bus,Number of bus routes (directly operated and contracted),120 (as of June '23)
Metro Bus,Directly operated bus fleet,1888 buses (as of June '23)
Metro Bus,Buses assigned contractors to provide service on Metro routes,143
Metro Bus,Annual revenue service hours (directly operated) in FY23,6590379
Metro Bus,Annual revenue service hours (contracted) in FY23,498656*
Metro Bus,Total revenue service hours in FY23,7089035
Metro Bus,Annual revenue service miles (directly operated) in FY23,69192547
Metro Bus,Annual revenue service miles (contracted) in FY23,5242318*
Metro Bus,Total revenue service miles in FY23,74434865
Metro Rail,Stations,108 stations
Metro Rail,Number of heavy rail cars,100 heavy rail cars
Metro Rail,Number of light rail cars,337 light rail cars
Metro Rail,Miles of service,109 mi
Metro Rail,Number of lines,6 lines (2 heavy rail 4 light rail)
Metro Rail,Annual revenue service hours in FY23,1340907
Metro Rail,Annual revenue service miles in FY23,29014299
Metro Rail,Station elevators,180
Metro Rail,Station escalators,171
Metro A (Blue) Line,Miles,48.5 mi
Metro A (Blue) Line,Type,Light rail
Metro A (Blue) Line,Stations,44 (5 shared with E Line)
Metro B (Red) Line,Miles,14.7 mi
Metro B (Red) Line,Type,Heavy rail
Metro B (Red) Line,Stations,14 (6 shared with D Line)
Metro C (Green) Line,Miles,19.3 mi
Metro C (Green) Line,Type,Light rail
Metro C (Green) Line,Stations,17 (1 shared)
Metro D (Purple) Line,Miles,5.1 mi
Metro D (Purple) Line,Type,Heavy rail
Metro D (Purple) Line,Stations,8 (6 shared with B Line)
Metro E Line,Miles,22
Metro E Line,Type,Light Rail
Metro E Line,Stations,29 (5 shared with A Line)
Metro K Line,Miles,5.9 mi
Metro K Line,Type,Light Rail
Metro K Line,Stations,7
Metro Busways,Metro G (Orange) Line,Miles 17.7
Metro Busways,Metro J (Silver) Line,Stations 12
Bikes,Class I (Off Street Bike Path),341 miles
Bikes,Class II (Unprotected Bike Lanes),969 miles
Bikes,Class III (On-Street Bicycle Route),520 miles
Bikes,Class IV (Separated Bicycle Lanes/Cycle Track),64 miles
Bikes,Total,1894 miles
Bikes,Number of Metro Bike Share stations,221 stations
Bikes,Number of bikes in the Metro Bike Share program,1800
Bikes,Number of bike trips taken through the Metro Bike Share Program in 2022,290000+
Bikes,Number of Metro BikeHubs,5
Metro Micro,Number of vehicles,85
Metro Micro,Number of service zones,8
Metro Micro,Revenue hours in FY23,220400
Metro Micro,Revenue service miles in FY23,2850386
Metro Micro,Passenger boarding in FY23,695500
Metro Micro,Number of trips taken,1.2M+
Carpool and Expressway,Miles of HOV lanes,509.8 lane miles
Carpool and Expressway,Miles of MetroExpress lanes,25 miles (50 miles in both directions)
