FISCAL YEAR,FISCAL MONTH NAME,DEPARTMENT NAME,REVENUE SOURCE NAME,REVENUE COLLECTED,FUND NAME,REVENUE SOURCE CLASS NAME,REVENUE SOURCE CATEGORY NAME,REVENUE SOURCE CATEGORY,FISCAL MONTH,FISCAL PERIOD,FUND,DEPARTMENT,REVENUE SOURCE CLASS,REVENUE SOURCE
2022,OCTOBER,TRANSPORTATION,INTEREST INCOME-OTHER,76.33,COLORADO BLVD SPECIFIC PLAN CO,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,4,202204,49M,94,490,4903
2022,OCTOBER,TRANSPORTATION,SEWER CONS & MAIN RELATED COST,10101.00,GENERAL FUND (GENERAL BUDGET),REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,4,202204,100,94,530,5328
2012,APRIL,TRANSPORTATION,FRANCHISE INCOME-RAILWAYS,195.00,GENERAL FUND (GENERAL BUDGET),FRANCHISES INCOME,TAXES,30,10,201210,100,94,306,3064
2012,APRIL,TRANSPORTATION,FILMING PERMITS,111846.66,GENERAL FUND (GENERAL BUDGET),OTHER LICENSES & PERMITS,LICENSES AND PERMITS,32,10,201210,100,94,328,3282
2012,APRIL,TRANSPORTATION,ADDL INTERFD TRANS-OTHER FUNDS,576915.32,GENERAL FUND (GENERAL BUDGET),ADDL INTERFD OPERATING TRANSFER,OTHER FINANCING SOURCES,56,10,201210,100,94,569,5693
2012,APRIL,TRANSPORTATION,ADDL INTERFD TRANS-OTHER FUNDS,245445.00,TRANSPORTATION GRANTS FUND,ADDL INTERFD OPERATING TRANSFER,OTHER FINANCING SOURCES,56,10,201210,655,94,569,5693
2012,APRIL,TRANSPORTATION,ADDL INTERFUND TRANS - GENERAL FD,9532.00,DEPT TRANSPORTATION TRUST,ADDL INTERFD OPERATING TRANSFER,OTHER FINANCING SOURCES,56,10,201210,840,94,569,5691
2012,APRIL,TRANSPORTATION,ARRA REIMBURSEMENTS,2928644.72,ARRA-TRANSPORTATION PROJ SPECI,ARRA GRANTS,REVENUES FR OTH GOVT AGCY-FED,36,10,201210,51X,94,367,3671
2012,APRIL,TRANSPORTATION,BAD CHECK COLLECTION FEES,2010.00,GENERAL FUND (GENERAL BUDGET),OTHER GEN GOVT SERVICES,CHARGES FOR CURRENT SERVICES,40,10,201210,100,94,432,4332
2012,APRIL,TRANSPORTATION,B PERMITS,388916.81,GENERAL FUND (GENERAL BUDGET),STREETS AND CURB PERMITS,LICENSES AND PERMITS,32,10,201210,100,94,324,3242
2012,APRIL,TRANSPORTATION,COORDINATION OF OFF ST PRKNG,593995.41,GENERAL FUND (GENERAL BUDGET),REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,10,201210,100,94,530,5305
2012,APRIL,TRANSPORTATION,COUNTY GRANTS - OTHERS,419718.01,TRANSPORTATION GRANTS FUND,COUNTY GRANTS/AGREEMENTS,REVENUES FR OTH GOVT AGCY-CNTY,35,10,201210,655,94,351,3513
2012,APRIL,TRANSPORTATION,DAMAGES REPAIRED TRAFFICSAFETY,40475.10,GENERAL FUND (GENERAL BUDGET),STREET SIDEWALK & CURB REPAIRS,CHARGES FOR CURRENT SERVICES,40,10,201210,100,94,428,4289
2012,APRIL,TRANSPORTATION,DRIVER PERMIT,86889.90,GENERAL FUND (GENERAL BUDGET),OTHER LICENSES & PERMITS,LICENSES AND PERMITS,32,10,201210,100,94,328,3289
2012,APRIL,TRANSPORTATION,FINGER PRINT FEES,228.00,GENERAL FUND (GENERAL BUDGET),OTHER CURRENT SERVICE CHARGES,CHARGES FOR CURRENT SERVICES,40,10,201210,100,94,465,4653
2012,APRIL,TRANSPORTATION,FORFEITURES & PENALTIES,245.00,TRANSP REGULATION &ENFORCEMENT,FORFEITURES & PENALTIES,FINES AND FORFEITURES,48,10,201210,596,94,483,4831
2012,APRIL,TRANSPORTATION,HOLLYWOOD/HIGHLAND LOT 745,916307.98,SPECIAL PARKING REVENUE,PARKING REVENUES,CHARGES FOR CURRENT SERVICES,40,10,201210,363,94,449,4491
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,9622.73,ATSAC TRUST,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,484,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,390.66,CENTRAL CITY WEST TRAN IMPACT,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,522,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,16264.79,COASTAL TRANSP CORRIDOR TRUST,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,447,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,17.21,COLORADO BLVD SPECIFIC PLAN CO,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,49M,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,5305.15,LOCAL TRANSPORTATION,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,207,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,810.98,MEASURE R BUS OPERATIONS FUND,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,51R,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,48356.49,MEASURE R LOCAL RETURN FUND,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,51Q,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,4922.26,MOBILE SOURCE AIR POLLUT REDUC,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,528,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,2150.06,NEIGHBORHOOD TRAFFIC MGMT,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,47H,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,32.52,OXFORD TRIANGLE/VENICE NEIGHBO,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,912,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,99.99,PERMIT PARKING PROG REV FD,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,49C,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,242.40,PETROLEUM VIOLATION ESCR ACCT,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,868,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,142099.40,PROPOSITION A LOCAL TRANSIT,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,385,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,19233.93,PROPOSITION C ANTIGRIDLOCK IMP,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,540,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,39834.07,SPECIAL PARKING REVENUE,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,363,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,181152.51,TRANSPORTATION GRANTS FUND,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,655,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,15.04,TRANSPORTATION REVIEW FEE FUND,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,50Y,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,1069.86,TRANSP REGULATION &ENFORCEMENT,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,596,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,5864.09,VENTURA/CAHUENGA CORRIDOR PLAN,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,523,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,7605.49,WARNER CTR TRANS IMPROVE TRUST,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,573,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,8158.12,WEST LA TRANSP IMPROV & MITIGA,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,681,94,490,4903
2012,APRIL,TRANSPORTATION,INTEREST INCOME-OTHER,10.47,WILSHIRE WEST TRANSP IMP TRUST,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,10,201210,462,94,490,4903
2012,APRIL,TRANSPORTATION,INTERFD OPER TRANS-MEASURE R LOCAL RET,17450.00,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,10,201210,100,94,561,5659
2012,APRIL,TRANSPORTATION,INTERFD OPER TRANS-PROP A,516938.07,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,10,201210,100,94,561,5616
2012,APRIL,TRANSPORTATION,INTERFD OPER TRANS-PROP C,2103110.00,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,10,201210,100,94,561,5638
2012,APRIL,TRANSPORTATION,INTERFD OPER TRANS-SEWER CONS,8248.00,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,10,201210,100,94,561,5615
